Year,Methadone,Morphine,Pethidine,Oxycodone,Fentanyl,Hydromorphone,Total ME
1980,1.5182900004423976,0.4276770730430021,0.8977344410192932,0.515384792792825,0.13486601525665687,0.13129105793006837,3.625243324342406
1981,1.6062486443021855,0.4748482887259564,0.8383954142714628,0.4931023485375234,0.15555194195506022,0.14287924067241287,3.7110259082540957
1982,1.6292386147801878,0.39645499249802696,0.8418446939802087,0.5203570353763562,0.14799181938024164,0.15189977710900843,3.6877871998126683
1983,1.6515457605584205,0.43767565945058234,0.8930096139896556,0.5435422574352428,0.17547934139409563,0.1640400699005581,3.865292877416039
1984,1.6960853341727662,0.5628932226107761,0.8707188705830347,0.610539577816531,0.18023508171495506,0.17122843266856821,4.091700496543618
1985,1.7819328068036246,0.6827939522422065,0.8333994579800917,0.5853390359201283,0.18633759245284565,0.17550876053042286,4.245311733415034
1986,1.7491333862967064,0.881066321172563,0.8062529807047281,0.6107275676782833,0.2024761427474013,0.19381120355125278,4.443467699109056
1987,1.8040273218773852,0.9366487957681331,0.7518571367907548,0.6117150506461186,0.19113318284155625,0.17885979460571114,4.4742413599186275
1988,1.8781532011480349,1.154472128026815,0.7793288040251796,0.6023610768567587,0.2685542120050777,0.1889342270291179,4.871803799214407
1989,2.03631973554986,1.2429758305986058,0.7617709056938224,0.6290598299278991,0.22279352480417747,0.19977579227249864,5.092695695499077
1990,2.3743262177454696,1.3531603669136942,0.6373848683435648,0.6537266087808647,0.3054665165342014,0.2132923766942904,5.5373569399360205
1991,2.4087229616355765,1.549017520873127,0.7265079393629338,0.6427055395953858,0.7869080124955983,0.232687593907515,6.346549627206985
1992,2.6288792150578795,1.8175618185366256,0.7100149433854527,0.6902156951549369,0.821433480667885,0.24457973690806276,6.9126850467021885
1993,3.1232721247148385,2.2482838116964747,0.6606378772557673,0.6987455805229439,0.8217713286965384,0.2642938977414279,7.817004720102185
1994,3.805470751978594,2.4780714249268665,0.6125809118250677,0.7816890020154432,1.1373401083300734,0.2722044229199265,9.087356637072817
1995,4.424984007827825,2.65572987784827,0.6749477711286588,0.782904363579655,1.3736760022643135,0.3243839455530934,10.236626134536126
1996,5.2763839171017,2.7894517145232514,0.6225331966527141,0.9481520908828538,1.5127129019622496,0.34001083480334454,11.489244649584
1997,5.720123322772858,3.030146530866424,0.5980928612993128,1.3426191660739868,1.982002233750081,0.36049281467894906,13.03347680721969
1998,6.383228259949568,3.28218937008765,0.6239127355980467,1.7244172520914813,2.5695694003568272,0.5525323621273233,15.13584935133282
1999,7.727562150833483,3.353583853976166,0.5853000638055257,2.7500388374987246,3.376710046511697,0.4621533314441473,18.255348175190093
2000,8.058359206698928,3.4871527102928916,0.5859126669791613,4.044551381155915,4.235086868089115,0.5056453206636864,20.916708074939937
2001,9.228216825056373,3.7714149493153473,0.5866882241831175,5.1252299603726,4.8238703618449845,0.6459948487121698,24.181415057379812
2002,10.562756164762433,4.329914882322334,0.607848172979463,5.846661795758997,6.490353283516459,0.8246111584996118,28.662145400098964
2003,11.819080664282984,4.394948306332751,0.49306557675853224,7.089116946809135,8.424995055804981,0.9227292845994363,33.1439358395365
2004,13.445758922808603,4.4935748748242155,0.552184234616606,7.642747915240358,10.5485337982176,1.082290344364438,37.76508999250049
2005,13.84646997248507,4.884567309532144,0.45445551158514935,8.713018340162504,12.89484243126377,1.3903116642683506,42.183665263025546
2006,15.422387654601133,4.948593240024733,0.39853456711987423,8.600162216988288,16.292585806860277,1.5200755350997783,47.1823391214921
2007,16.938495447890663,5.8869076774972875,0.3721866712341126,10.30385982004123,16.7848173049192,1.6588407624132024,51.945107636456314
2008,18.154740704580828,5.6695577340528605,0.36264234874124757,10.535867208933455,18.43569127042811,1.6874470481229629,54.845946338141225
2009,18.781735933785647,6.128250767080044,0.3729983644132943,15.033017640604209,16.637165778861817,2.6895618003451873,59.642730307725294
2010,18.30934691669196,5.913000774809457,0.29738823377232443,14.317630701422253,21.10656652229321,2.487474058819682,62.43140717607258
2011,19.10114036387984,6.107497118587154,0.2580688562955396,15.661474799359887,17.414605515990054,3.122549034436791,61.6653356923393
2012,17.817539129664496,6.283351210742573,0.23967231816147935,17.930113874080952,15.120172979568364,2.4503703150588168,59.841219830807226
